ASCII,label
aabhuush,1
aabhuushenya,1
aabhuuta,1
aabhuutas,1
aabhuutasamplavam,1
aabhuuti,1
aabhyaagaarika,1
aabhyaashika,1
aabhyaasika,1
aabhyantara,1
aabhyantara_krimih,1
aabhyantaradeha,1
aabhyantarahetuh,1
aabhyantaram,1
aabhyantaranritta,1
aabhyantarap,1
aabhyantaraprayatna,1
aabhyantarasnehah,1
aabhyantarika,1
aabhyavahaarika,1
aabhyavakaashika,1
aabhyudayika,1
aabila,1
aabilakanda,1
aabilam,1
aabrahma,1
aabrahmasabham,1
aabravantii,1
aabridha,1
aabrih,1
aabruu,1
aabudh,1
aabudhya,1
aabutta,1
aaca,1
aacaama,1
aacaamaka,1
aacaamanaka,1
aacaamya,1
aacaanta,1
aacaanti,1
aacaantodaka,1
aacaara,1
aacaaraadarsha,1
aacaaraanga,1
aacaaraarka,1
aacaarabheda,1
aacaarabhrashta,1
aacaaracakrin,1
aacaaracandrikaa,1
aacaaradiipa,1
aacaarahiina,1
aacaaramaya,1
aacaaramayuukha,1
aacaararasaayanam,1
aacaaratantra,1
aacaaravarjita,1
aacaaravat,1
aacaaravedii,1
aacaaraviruddha,1
aacaaravyapeta,1
aacaarii,1
aacaarika,1
aacaarin,1
aacaarollaasa,1
aacaarya,1
aacaaryaa,1
aacaaryaanii,1
aacaaryaasandii,1
aacaaryabhogiina,1
aacaaryad,1
aacaaryadeshiiya,1
aacaaryadeva,1
aacaaryajaayaa,1
aacaaryaka,1
aacaaryakarana,1
aacaaryamishra,1
aacaaryamushti,1
aacaaryasava,1
aacaaryataa,1
aacaaryatarpana,1
aacaaryatva,1
aacaaryav,1
aacaaryavacasa,1
aacaaryavat,1
aacaaryii,1
aacaaryopaasana,1
aacakri,1
aacaksh,1
aacakshas,1
aacakshus,1
aacal,1
aacam,1
aacamana,1
aacamanaka,1
aacamanii,1
aacamaniiya,1
aacamaniiyaka,1
aacamya,1
aacana,1
aacancala,1
aacandram,1
aacandrataarakam,1
aacaparaaca,1
aacar,1
aacara,1
aacarana,1
aacaraniiya,1
aacaranya,1
aacarat,1
aacarita,1
aacaritatva,1
aacaritavya,1
aacarya,1
aacas,1
aacashta,1
aacashte,1
aacaturam,1
aacaturvimshates,1
aacaturya,1
aacaupaca,1
aacaya,1
aacayaka,1
aacch,1
aacchaada,1
aacchaadaka,1
aacchaadakatva,1
aacchaadana,1
aacchaadanavastra,1
aacchaadayitritama,1
aacchaadayitvaa,1
aacchaadin,1
aacchaadita,1
aacchaadya,1
aacchad,1
aacchadvidhaana,1
aacchanna,1
aaccheda,1
aacchedana,1
aacchedanii,1
aacchettri,1
aacchid,1
aacchidya,1
aacchinna,1
aaccho,1
aacchod,1
aacchodana,1
aacchotita,1
aacchrid,1
aacchuka,1
aacchurita,1
aacchuritaka,1
aacesht,1
aaceshtita,1
aaceshvara,1
aachid,1
aacho,1
aachrid,1
aaci,1
aacid,1
aacii,1
aaciirna,1
aacikhyaasaa,1
aacikhyaasopamaa,1
aacikshat,1
aacit,1
aacita,1
aacitaadi,1
aacitiina,1
aacitika,1
aacitra,1
aacopaca,1
aacrit,1
aacumb,1
aacuushana,1
aacuushanakarma,1
aacya,1
aacyaa,1
aacyaad,1
aacyaadoha,1
aacyu,1
aacyudanti,1
aacyudantiiya,1
aacyutadanti,1
aacyutadantiiya,1
aacyutanti,1
aacyutantiiya,1
aacyutika,1
aada,1
aadaa,1
aadaadika,1
aadaama,1
aadaana,1
aadaanasamiti,1
aadaanavat,1
aadaane,1
aadaanii,1
aadaapana,1
aadaara,1
aadaarabimbii,1
aadaaraka,1
aadaari,1
aadaaribimbii,1
aadaarin,1
aadaatavya,1
aadaatri,1
aadaaya,1
aadaayacara,1
aadaayamaana,1
aadaayin,1
aadabh,1
aadadaana,1
aadadhaami,1
aadadharsha,1
aadadharshiit,1
aadadhiici,1
aadadi,1
aadagh,1
aadaghna,1
aadah,1
aadahana,1
aadai,1
aadam,1
aadambara,1
aadambaraagh,1
aadambaraaghaata,1
aadambaravat,1
aadambarin,1
aadambarita,1
aadamsh,1
aadamsha,1
aadara,1
aadaraat,1
aadaram,1
aadarana,1
aadaraniiya,1
aadaraniiyatva,1
aadaravat,1
aadardarshi,1
aadardira,1
aadardrihi,1
aadarena,1
aadarin,1
aadarsha,1
aadarshabimba,1
aadarshaka,1
aadarshamandala,1
aadarshamaya,1
aadarshate,1
aadarshi,1
aadarshita,1
aadartavya,1
aadas,1
aadashaaham,1
aadashasya,1
aadashat,1
aadashta,1
aadat,1
aadatta,1
aadatte,1
aadau,1
aadaupashcaatbhuuyah,1
aadaupunarpashcaat,1
aadayat,1
aadayati,1
aadehadaaham,1
aadesha,1
aadeshaka,1
aadeshakaarin,1
aadesham,1
aadeshana,1
aadeshin,1
aadeshtri,1
aadeshya,1
aadeva,1
aadevaka,1
aadevana,1
aadeya,1
aadeyah,1
aadeyatarataa,1
aadhaa,1
aadhaana,1
aadhaanakaarikaa,1
aadhaanapaddhati,1
aadhaanavidhi,1
aadhaanika,1
aadhaara,1
aadhaaraadheyabhaava,1
aadhaaracakra,1
aadhaarah,1
aadhaaraka,1
aadhaarakaarikaa,1
aadhaarana,1
aadhaararuupaa,1
aadhaarataa,1
aadhaaratva,1
aadhaarayas,1
aadhaarikaa,1
aadhaarin,1
aadhaarshtya,1
aadhaarya,1
aadhaatavya,1
aadhaatri,1
aadhaav,1
aadhaava,1
aadhaavati,1
aadhaaya,1
aadhaayaka,1
aadhaayakatva,1
aadhaayin,1
aadhaayitaa,1
aadhaka,1
aadhakajambuka,1
aadhakam,1
aadhakii,1
aadhakiina,1
aadhakika,1
aadhamana,1
aadhamarnya,1
aadhara,1
aadharmika,1
aadharsha,1
aadharshana,1
aadharshita,1
aadharshya,1
aadharya,1
aadhava,1
aadhavana,1
aadhavaniiya,1
aadhehi,1
aadhenava,1
aadheya,1
aadhi,1
aadhibandha,1
aadhibhautika,1
aadhibhautikarogah,1
aadhibhoga,1
aadhidaivata,1
aadhidaivika,1
aadhidaivikarogah,1
aadhii,1
aadhiikarana,1
aadhiikri,1
aadhiikrita,1
aadhiikritya,1
aadhiil,1
aadhiilaka,1
aadhiina,1
aadhiiparna,1
aadhiita,1
aadhiitayajus,1
aadhiiti,1
aadhiiyamaanacitta,1
aadhija,1
aadhijna,1
aadhika,1
aadhikaarika,1
aadhikaranika,1
aadhikya,1
aadhikyapraaptaastrii,1
aadhimanyu,1
aadhimlaana,1
aadhipatya,1
aadhiraajya,1
aadhirathi,1
aadhirathiiya,1
aadhistena,1
aadhitaa,1
aadhitsu,1
aadhivedanika,1
aadhmaa,1
aadhmaana,1
aadhmaanabastivyaapat,1
aadhmaanam,1
aadhmaanam_vamanavyaapat,1
aadhmaanavirecanavyaapat,1
aadhmaanii,1
aadhmaapana,1
aadhmaata,1
aadhmaata_virecanavyaapat,1
aadho,1
aadhomukhya,1
aadhorana,1
aadhra,1
aadhri,1
aadhrish,1
aadhrishiiya,1
aadhrishta,1
aadhrishti,1
aadhrita,1
aadhu,1
aadhunaya,1
aadhunayantaam,1
aadhunika,1
aadhunvate,1
aadhus,1
aadhuta,1
aadhuumana,1
aadhuumaya,1
aadhuumita,1
aadhuumra,1
aadhuunomi,1
aadhuupana,1
aadhuupaya,1
aadhuuta,1
aadhuuya,1
aadhvam,1
aadhvams,1
aadhvanika,1
aadhvara,1
aadhvaraayana,1
aadhvarika,1
aadhvaryava,1
aadhvasta,1
aadhya,1
aadhyaa,1
aadhyaadu,1
aadhyaana,1
aadhyaapaka,1
aadhyaasika,1
aadhyaatmika,1
aadhyaatmikaatushti,1
aadhyaatmikarogah,1
aadhyaayika,1
aadhyacara,1
aadhyai,1
aadhyaka,1
aadhyakshya,1
aadhyakuliina,1
aadhyam,1
aadhyambh,1
aadhyambhaavuka,1
aadhyambhavishnu,1
aadhyamkarana,1
aadhyap,1
aadhyapadi,1
aadhyapuurva,1
aadhyaroga,1
aadhyarogin,1
aadhyashvi,1
aadhyashviiya,1
aadhyataa,1
aadhyavaata,1
aadi,1
aadibaka,1
aadibala,1
aadibalapravrittarogah,1
aadibharataprastaara,1
aadibhava,1
aadibhavaanii,1
aadibhuuta,1
aadibuddha,1
aadidaitya,1
aadideva,1
aadidiipa,1
aadidiipaka,1
aadigadaadhara,1
aadigdha,1
aadigrantha,1
aadiguru,1
aadih,1
aadii,1
aadiibaka,1
aadiidayat,1
aadiidet,1
aadiidhayan,1
aadiidhi,1
aadiidhiithaas,1
aadiidi,1
aadiinava,1
aadiip,1
aadiipaka,1
aadiipana,1
aadiipayas,1
aadiipita,1
aadiipta,1
aadiipya,1
aadiirgha,1
aadiirya,1
aadiishvara,1
aadiit,1
aadiivin,1
aadijina,1
aadik,1
aadikaala,1
aadikaaliina,1
aadikaanda,1
aadikaarana,1
aadikaavya,1
aadikara,1
aadikarman,1
aadikarnii,1
aadikartri,1
aadikavi,1
aadikeshava,1
aadikeshavaashtaka,1
aadikrit,1
aadikshat,1
aadilupta,1
aadima,1
aadimat,1
aadimattva,1
aadimatva,1
aadimuula,1
aadin,1
aadinaantam,1
aadinaatha,1
aadinava,1
aadinavadarsha,1
aadindikaa,1
aadip,1
aadiparvan,1
aadiparvata,1
aadipitaamaha,1
aadipluta,1
aadipuraana,1
aadipurusha,1
aadipuurusha,1
aadiraaja,1
aadirasashloka,1
aadiruupa,1
aadisarga,1
aadish,1
aadishaabdika,1
aadishakti,1
aadisham,1
aadishariira,1
aadishe,1
aadishta,1
aadishtaa,1
aadishtin,1
aadishuura,1
aadishya,1
aadisimha,1
aadisthaayika,1
aadisuura,1
aadisvarita,1
aaditaa,1
aaditaala,1
aaditas,1
aaditeya,1
aaditsaa,1
aaditsanta,1
aaditsu,1
aaditva,1
aaditya,1
aadityaa,1
aadityaacaarya,1
aadityaanaam,1
aadityaanuvartin,1
aadityabandhu,1
aadityabhaktaa,1
aadityacandrau,1
aadityadaasa,1
aadityadarshana,1
aadityadeva,1
aadityadevata,1
aadityadhaaman,1
aadityagarbha,1
aadityagata,1
aadityagati,1
aadityagraha,1
aadityahridaya,1
aadityajuuta,1
aadityajyotis,1
aadityakaantaa,1
aadityakeshava,1
aadityaketu,1
aadityakiilaka,1
aadityaloka,1
aadityamandala,1
aadityamkaashthaamakurvata,1
aadityanaaman,1
aadityapaaka,1
aadityapaatra,1
aadityaparnii,1
aadityaparnikaa,1
aadityaparnin,1
aadityaparninii,1
aadityapattra,1
aadityaprabha,1
aadityapuraana,1
aadityapushpikaa,1
aadityaraama,1
aadityarashmayaevapaataaroyaasaam,1
aadityasamvatsara,1
aadityasena,1
aadityashakti,1
aadityashayana,1
aadityashayanavrata,1
aadityasthaalii,1
aadityastotra,1
aadityasuukta,1
aadityasuunu,1
aadityasvaamin,1
aadityatejas,1
aadityatiirtha,1
aadityatva,1
aadityavaara,1
aadityavallabhaa,1
aadityavani,1
aadityavardhana,1
aadityavarman,1
aadityavarna,1
aadityavat,1
aadityavidhi,1
aadityavrata,1
aadityavratika,1
aadityayashas,1
aadivaaraaha,1
aadivaaraahatiirtha,1
aadivaktri,1
aadivamsha,1
aadivaraaha,1
aadivipulaa,1
aadiyaamala,1
aadiyogaacaarya,1
aado,1
aadrava,1
aadri,1
aadrisaara,1
aadrish,1
aadrishti,1
aadrishtigocaram,1
aadrishtiprasaram,1
aadrita,1
aadritya,1
aadriyat,1
aadrri,1
aadu,1
aaduh,1
aaduhe,1
aaduhus,1
aaduri,1
aaduu,1
aaduuna,1
aadvaadasham,1
aadvaalana,1
aadvaaram,1
aadval,1
aadya,1
aadyaa,1
aadyaadi,1
aadyaadya,1
aadyaamasi,1
aadyabiija,1
aadyag,1
aadyagangaa,1
aadyakaalaka,1
aadyakavi,1
aadyamaashaka,1
aadyanta,1
aadyantasth,1
aadyantavat,1
aadyantayamaka,1
aadyartvij,1
aadyati,1
aadyota,1
aadyudaatta,1
aadyudaattatva,1
aadyuuna,1
aaga,1
aagaa,1
aagaadha,1
aagaam,1
aagaamika,1
aagaamin,1
aagaamuka,1
aagaana,1
aagaantu,1
aagaara,1
aagaaradaaha,1
aagaaradaahin,1
aagaaradh,1
aagaaradhuuma,1
aagaarag,1
aagaaragodhikaa,1
aagaarika,1
aagaat,1
aagaatri,1
aagaavah,1
aagaaviiya,1
aagaayat,1
aagacchati,1
aagadhita,1
aagai,1
aagalita,1
aagam,1
aagama,1
aagamaapaayin,1
aagamacandrikaa,1
aagamakalpadruma,1
aagamakaumudii,1
aagamakrisara,1
aagamana,1
aagamanatas,1
aagamanirapeksha,1
aagamaprakaasha,1
aagamarahasya,1
aagamasamhita,1
aagamashaastra,1
aagamashashkulii,1
aagamashruti,1
aagamatattvasamgraha,1
aagamavat,1
aagamavirodha,1
aagamika,1
aagamin,1
aagamishtha,1
aagamita,1
aagamya,1
aaganda,1
aagandam,1
aaganma,1
aagantavya,1
aagantos,1
aagantri,1
aagantu,1
aagantu_kshavathuh,1
aagantuja,1
aagantujachardih,1
aagantujajvarah,1
aagantujavranah,1
aagantuka,1
aagantukashalyam,1
aagara,1
aagarava,1
aagarbham,1
aagarin,1
aagas,1
aagaskaarin,1
aagaskrit,1
aagaskrita,1
aagastii,1
aagastiiya,1
aagastya,1
aagasvin,1
aagata,1
aagataagama,1
aagataastha,1
aagatakshobha,1
aagatamatsya,1
aagatamatsyaa,1
aagatanandin,1
aagatanardin,1
aagataprahaarin,1
aagatarohin,1
aagatasaadhvasa,1
aagatatva,1
aagatavancin,1
aagatavismaya,1
aagatayodhin,1
aagati,1
aagatih,1
aagatya,1
aagaviina,1
aageya,1
aaghaagamadyadishravat,1
aaghaara,1
aaghaarana,1
aaghaata,1
aaghaatakaala,1
aaghaatana,1
aaghaatasthaana,1
aaghaati,1
aaghamarshana,1
aaghargharam,1
aagharsha,1
aagharshana,1
aagharshanii,1
aaghatt,1
aaghattaka,1
aaghattalikaa,1
aaghattana,1
aaghattanaa,1
aaghnaana,1
aaghnat,1
aaghniiya,1
aaghosha,1
aaghoshanaa,1
aaghoshayat,1
aaghoshinii,1
aaghoshita,1
aaghraa,1
aaghraana,1
aaghraata,1
aaghreya,1
aaghri,1
aaghrini,1
aaghriniivasu,1
aaghush,1
aaghuurn,1
aaghuurna,1
aaghuurnana,1
aaghuurnita,1
aagiigraama,1
aagiita,1
aaglaa,1
aagnaapaushna,1
aagnaavaishnava,1
aagnendra,1
aagneya,1
aagneya_dravyaatiyogah,1
aagneyaastra,1
aagneyaiindra,1
aagneyaindra,1
aagneyaindraa,1
aagneyapaav,1
aagneyapaavamaanii,1
aagneyapuraana,1
aagneyarasah,1
aagneyarogah,1
aagneyii,1
aagneyyaindrii,1
aagnidatteya,1
aagnihotrika,1
aagniidhra,1
aagniidhraa,1
aagniidhraka,1
aagniidhrii,1
aagniidhriiya,1
aagniidhrya,1
aagniindra,1
aagnika,1
aagnimaaruta,1
aagnipaatniivatii,1
aagnipaavamaanii,1
aagnipada,1
aagnisharmaayana,1
aagnisharmi,1
aagnisharmiiya,1
aagnishtomiiya,1
aagnishtomika,1
aagnishtomya,1
aagnivaaruna,1
aagniveshi,1
aagniveshya,1
aagniveshyaayana,1
aagnyaadheyika,1
aago,1
aagomuc,1
aagopaala,1
aagopaalaadvijaatayah,1
aagraayana,1
aagrabhojanika,1
aagrah,1
aagraha,1
aagrahaarika,1
aagrahaat,1
aagrahaayana,1
aagrahaayanaka,1
aagrahaayanam,1
aagrahaayani,1
aagrahaayanii,1
aagrahaayanika,1
aagrahena,1
aagranth,1
aagrantham,1
aagranthana,1
aagras,1
aagrasta,1
aagrathana,1
aagray,1
aagrayana,1
aagrayanaagra,1
aagrayanaka,1
aagrayanapaatra,1
aagrayanasthaalii,1
aagrayaneshti,1
aagrayanii,1
aagrayaniiya,1
aagreya,1
aagunthita,1
aagur,1
aagurana,1
aagurava,1
aaguuhkarana,1
aaguurna,1
aaguurta,1
aaguurtin,1
aaguurya,1
aaha,1
aahaara,1
aahaaraarthin,1
aahaaraatiyogah,1
aahaarabh,1
aahaarabhuumi,1
aahaaradravyayojanam,1
aahaarah,1
aahaarah_(vranacikitsaa),1
aahaaraka,1
aahaarakalpanaa,1
aahaaram,1
aahaaramithyaayogah,1
aahaaranihsaranamaarga,1
aahaaranirgamasthaana,1
aahaarapaaka,1
aahaaraparinaamakarabhaavah,1
aahaararasah,1
aahaarasambhava,1
aahaarashuddhi,1
aahaarasvaruupabhedah,1
aahaaravaishamyam,1
aahaaravargah,1
aahaaravidhivisheshaayatanam,1
aahaaraviraha,1
aahaaravritti,1
aahaaraya,1
aahaarayati,1
aahaarayogivargah,1
aahaarayojana,1
aahaarika,1
aahaarin,1
aahaarya,1
aahaaryante,1
aahaaryashobhaa,1
aahaava,1
aahaka,1
aahalak,1
aahalam,1
aahamkaarika,1
aahamkaarya,1
aahan,1
aahanana,1
aahananaprakaara,1
aahananya,1
aahanas,1
aahanasya,1
aahanasyaa,1
aahara,1
aaharacelaa,1
aaharacetaa,1
aaharakarataa,1
aaharakarataityucyateyasyaamkriyaayaamsaa,1
aaharana,1
aaharanakarma,1
aaharanam,1
aaharaniikri,1
aaharanishkiraa,1
aaharanivapaa,1
aaharasenaa,1
aaharati,1
aaharavanitaa,1
aaharavasanaa,1
aaharavitanaa,1
aahartri,1
aahary,1
aahasa,1
aahaspatya,1
aahata,1
aahatal,1
aahatalakshana,1
aahatavisargataa,1
aahati,1
aahatuh,1
aahatya,1
aahatyavaada,1
aahatyavacana,1
aahava,1
aahavabhuumi,1
aahavah,1
aahavakaamyaa,1
aahavana,1
aahavaniiya,1
aahavaniiyaka,1
aahavaniiyatas,1
aahavashobhin,1
aaheya,1
aahi,1
aahicchattra,1
aahicchattrika,1
aahiinta,1
aahika,1
aahimata,1
aahims,1
aahimsaayana,1
aahimsi,1
aahind,1
aahindaka,1
aahindika,1
aahinvire,1
aahirbudhnya,1
aahita,1
aahitaagni,1
aahitaagnyaadi,1
aahitaanka,1
aahitaanyaadi,1
aahitaklama,1
aahitalakshana,1
aahitamati,1
aahitasamitka,1
aahiti,1
aahitundika,1
aahlaad,1
aahlaada,1
aahlaadadugha,1
aahlaadaka,1
aahlaadakaarin,1
aahlaadakara,1
aahlaadalaharii,1
aahlaadana,1
aahlaadaniiya,1
aahlaadin,1
aahlaadita,1
aahna,1
aahneya,1
aahnika,1
aahnikaacaara,1
aahnikaacaaratattva,1
aahnikacandrikaa,1
aahnikadiipaka,1
aahnikamanjarii,1
aahnikapradiipa,1
aahnikaprayoga,1
aahnikasaara,1
aahnikatattva,1
aaho,1
aahopur,1
aahopurushikaa,1
aahosvit,1
aahri,1
aahriikya,1
aahrish,1
aahrita,1
aahritayajnakratu,1
aahriti,1
aahritya,1
aahruta,1
aahrutabheshaja,1
aahu,1
aahuh,1
aahuka,1
aahukii,1
aahulya,1
aahuta,1
aahuti,1
aahutibhaaga,1
aahutibhaaj,1
aahutii,1
aahutiibhuu,1
aahutiikri,1
aahutiishahi,1
aahutiishtakaa,1
aahutiivridh,1
aahutikrita,1
aahutimaya,1
aahutiparimaana,1
aahutishtakaa,1
aahutivat,1
aahuu,1
aahuurya,1
aahuushata,1
aahuuta,1
aahuutaadhyaayin,1
aahuutaprapalaayin,1
aahuutavya,1
aahuuti,1
aahuuya,1
aahuva,1
aahuve,1
aahuvema,1
aahv,1
aahva,1
aahvaa,1
aahvaana,1
aahvaanaanaahvaane,1
aahvaanadarshana,1
aahvaanana,1
aahvaanaya,1
aahvaanayati,1
aahvaaraka,1
aahvaatri,1
aahvaaya,1
aahvaayaka,1
aahvaayayitavya,1
aahvaayikaa,1
aahvara,1
aahvaraka,1
aahvarakantha,1
aahvaya,1
aahvayah,1
aahvayana,1
aahvayitavya,1
aahve,1
aahvri,1
aahvriti,1
aaid,1
aaiiksh,1
aaiir,1
aaiish,1
aaindh,1
aainv,1
aaish,1
aaja,1
aajaa,1
aajaadya,1
aajaana,1
aajaanaa,1
aajaanadeva,1
aajaanaja,1
aajaaneya,1
aajaaneyya,1
aajaani,1
aajaanikya,1
aajaanu,1
aajaanubaahu,1
aajaanulambin,1
aajaanusama,1
aajaata,1
aajaatashaatrava,1
aajaatashatrava,1
aajaati,1
aajaavika,1
aajaayana,1
aajabandhavi,1
aajabhaara,1
aajadhenavi,1
aajagaava,1
aajagara,1
aajagava,1
aajaghaana,1
aajahi,1
aajaka,1
aajakaara,1
aajakar,1
aajakarona,1
aajakeshin,1
aajakrandaka,1
aajakrandi,1
aajamaarya,1
aajamaayava,1
aajamiia,1
aajamiidha,1
aajamiidhaka,1
aajamiidhi,1
aajan,1
aajanana,1
aajanghanti,1
aajani,1
aajanma,1
aajanmasurabhipattra,1
aajap,1
aajapaada,1
aajapathika,1
aajarasaaya,1
aajarasam,1
aajarjarita,1
aajasrika,1
aajasrikarasaayanam,1
aajat,1
aajau,1
aajavaaha,1
aajavaahaka,1
aajavana,1
aajavasteya,1
aajayana,1
aajayataam,1
aajayavilaapanii,1
aajeh,1
aaji,1
aajibhuumi,1
aajiga,1
aajigamishu,1
aajighrata,1
aajighrikshu,1
aajigiishu,1
aajihiina,1
aajihiirshu,1
aajihmita,1
aajiigarta,1
aajiigarti,1
aajiik,1
aajiikuula,1
aajiirnaantam,1
aajiit,1
aajiiv,1
aajiiva,1
aajiivaka,1
aajiivam,1
aajiivana,1
aajiivanika,1
aajiivika,1
aajiivin,1
aajiivitaantam,1
aajiivya,1
aajijityaa,1
aajijnaasenyaa,1
aajikrit,1
aajim,1
aajimaj,1
aajimukha,1
aajinv,1
aajipati,1
aajireya,1
aajiri,1
aajishiras,1
aajishobhin,1
aajisrit,1
aajitur,1
aajnaa,1
aajnaabhanga,1
aajnaabhangakaarin,1
aajnaabhangakara,1
aajnaacakra,1
aajnaadaana,1
aajnaakaarin,1
aajnaakara,1
aajnaakaratva,1
aajnaakarii,1
aajnaakhya,1
aajnaam,1
aajnaana,1
aajnaapaalana,1
aajnaapaka,1
aajnaapana,1
aajnaaparigraha,1
aajnaapattra,1
aajnaapita,1
aajnaapratighaata,1
aajnaapya,1
aajnaas,1
aajnaasampaadin,1
aajnaata,1
aajnaatak,1
aajnaatakaundinya,1
aajnaatri,1
aajnaavaha,1
aajnaaya,1
aajnaayin,1
aajnam,1
aajnapta,1
aajnapti,1
aajohaviiti,1
aajuhuurthaas,1
aajur,1
aajya,1
aajyaad,1
aajyaadoha,1
aajyaahuti,1
aajyabhaaga,1
aajyabhuj,1
aajyad,1
aajyadhaanii,1
aajyadhanvan,1
aajyadoha,1
aajyadoham,1
aajyagraha,1
aajyahavis,1
aajyahoma,1
aajyalepa,1
aajyalipta,1
aajyanta,1
aajyapa,1
aajyapaatra,1
aajyasthaalii,1
aajyavaari,1
aajyavilaapanii,1
aakaa,1
aakaala,1
aakaalam,1
aakaalika,1
aakaalikaa,1
aakaalikaatiiram,1
aakaalikii,1
aakaanksh,1
aakaanksha,1
aakaankshaa,1
aakaankshin,1
aakaankshya,1
aakaara,1
aakaaragopana,1
aakaaragupti,1
aakaaraguuhana,1
aakaaramat,1
aakaarana,1
aakaaranaa,1
aakaaraniiya,1
aakaaravarnasushlakshna,1
aakaaravat,1
aakaarita,1
aakaash,1
aakaasha,1
aakaashaanantyaayatana,1
aakaashaanantyaayatanopaga,1
aakaashaastikaaya,1
aakaashaatman,1
aakaashabaddhalaksha,1
aakaashabhaashita,1
aakaashacaarin,1
aakaashacakra,1
aakaashacamasa,1
aakaashadesha,1
aakaashadiipa,1
aakaashaga,1
aakaashagamana,1
aakaashagangaa,1
aakaashagarbha,1
aakaashagarbhi,1
aakaashagata,1
aakaashagati,1
aakaashah,1
aakaashaja,1
aakaashajananii,1
aakaashakakshaa,1
aakaashamaamsii,1
aakaashamani,1
aakaashamaya,1
aakaashamukhin,1
aakaashamushtihananaaya,1
aakaashamuulii,1
aakaashapatha,1
aakaashapathika,1
aakaashaplavaa,1
aakaashapoli,1
aakaashapradiipa,1
aakaashapratishthita,1
aakaasharakshin,1
aakaashasalila,1
aakaashashayana,1
aakaashasph,1
aakaashasphatika,1
aakaashastha,1
aakaashasya,1
aakaashav,1
aakaashavaanii,1
aakaashavacana,1
aakaashavallii,1
aakaashavartman,1
aakaashavat,1
aakaashayaana,1
aakaashayoginii,1
aakaashe,1
aakaashelakshambandh,1
aakaashesha,1
aakaashiiya,1
aakaashodaka,1
aakaashopanyaasa,1
aakaashya,1
aakaaya,1
aakaayam,1
aakaayya,1
aakac,1
aakal,1
aakalana,1
aakalayat,1
aakalita,1
aakalla,1
aakalpa,1
aakalpaantam,1
aakalpaka,1
aakalpam,1
aakalpasthaayin,1
aakalusha,1
aakalya,1
aakamp,1
aakampa,1
aakampana,1
aakampita,1
aakampra,1
aakan,1
aakantha,1
aakantham,1
aakanthatripta,1
aakapila,1
aakapisha,1
aakar,1
aakara,1
aakaraja,1
aakarajnaanam,1
aakaratiirtha,1
aakarika,1
aakarin,1
aakarkshyaami,1
aakarna,1
aakarnaka,1
aakarnam,1
aakarnamukta,1
aakarnamuulam,1
aakarnana,1
aakarnaya,1
aakarnin,1
aakarnya,1
aakarot,1
aakarsha,1
aakarshaadi,1
aakarshahshveva,1
aakarshaka,1
aakarshakaarikaa,1
